"filename", "language", "Markdown", "JavaScript", "CSS", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\README.md", "Markdown", 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\package-lock.json", "JSON", 0, 0, 0, 4989, 0, 0, 1, 4990
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\package.json", "JSON", 0, 0, 0, 24, 0, 0, 1, 25
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\src\config\app.js", "JavaScript", 0, 23, 0, 0, 0, 6, 6, 35
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\src\config\database.js", "JavaScript", 0, 8, 0, 0, 0, 4, 3, 15
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\src\config\index.js", "JavaScript", 0, 13, 0, 0, 0, 3, 9, 25
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\src\controllers\cargarControllers.js", "JavaScript", 0, 19, 0, 0, 0, 0, 8, 27
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\src\controllers\contenedorControllers.js", "JavaScript", 0, 64, 0, 0, 0, 0, 19, 83
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\src\controllers\historicoControllers.js", "JavaScript", 0, 33, 0, 0, 0, 0, 14, 47
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\src\controllers\productosControllers.js", "JavaScript", 0, 62, 0, 0, 0, 1, 24, 87
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\src\controllers\reservasControllers.js", "JavaScript", 0, 59, 0, 0, 0, 0, 20, 79
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\src\controllers\tiendaControllers.js", "JavaScript", 0, 59, 0, 0, 0, 1, 20, 80
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\src\controllers\usuarioControllers.js", "JavaScript", 0, 64, 0, 0, 0, 1, 24, 89
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\src\routes\cargarRoutes.js", "JavaScript", 0, 5, 0, 0, 0, 1, 4, 10
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\src\routes\contenedorRoutes.js", "JavaScript", 0, 8, 0, 0, 0, 4, 7, 19
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\src\routes\historicoRoutes.js", "JavaScript", 0, 6, 0, 0, 0, 2, 7, 15
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\src\routes\loginRoute.js", "JavaScript", 0, 19, 0, 0, 0, 2, 9, 30
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\src\routes\productosRoutes.js", "JavaScript", 0, 8, 0, 0, 0, 4, 10, 22
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\src\routes\reservasRoutes.js", "JavaScript", 0, 8, 0, 0, 0, 4, 7, 19
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\src\routes\tiendaRoutes.js", "JavaScript", 0, 8, 0, 0, 0, 4, 7, 19
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\src\routes\usuarioRoutes.js", "JavaScript", 0, 8, 0, 0, 0, 4, 8, 20
"c:\Users\Andres_Marulanda\Desktop\ADSO\sis_seg_retail_v1.0.0\back\tests\contenedor.test.js", "JavaScript", 0, 77, 0, 0, 0, 10, 44, 131
